ˈsɪniæst|ˈsɪniæst,cineaste,n影迷;热衷于电影的人,n. 热爱电影者，电影制作人员；,a devoted cineaste
ˌsɜ:kəmlə'kju:tərɪ|ˌsɜkəmlə'kjutərɪ,circumlocutory,adj委婉曲折的;迂回的,adj. （行文说话等）委婉曲折的，迂回的；,a circumlocutory reply;periphrastic
saɪˈteɪʃn|saɪˈteʃən,citation,n引证;引用文;传票,n. 引用； 引证； 引文； 表扬,manifesto with citations from the Koran
kleə'vɔɪənt|klɛrˈvɔɪənt,clairvoyant,adj透视的;有洞察力的,adj. 透视的，有洞察力的；|n. 透视者，千里眼的人；,clairvoyant powers;she became clairvoyant
klentʃ|klɛntʃ,clench,v握紧|咬紧(牙关等),vt. 紧握，抓紧； 钉牢； [航海] 系紧：用绳结捆绑；|n. 抓紧，咬紧； 抓紧用具；,clench one's teeth
,cliché,adj陈腐的,,
kləʊzdˌmɑɪndɪd|'kloʊzdˌmɑɪndɪd,closed-minded,adj倔强的;顽固的,adj. 思想保守的，不易接受新鲜事物的，有成见的；,
ˈkləʊʒə(r)|ˈkloʊʒə(r),closure,n关闭|终止,n. （永久的）停业，关闭； 结束； [电]闭合； [数]闭包|vt. 使结束，使终止； 使停止辩论；,the closure of
klɔɪ|klɔɪ,cloy,v(吃甜食)生腻;吃腻,vi. <正>发腻，倒胃口；,cloyed with rich food
ˈkɒfə(r)|ˈkɔfə(r),coffer,n保险柜,n. 保险柜，保险箱； 金库； 资金，财源； [建]天花板的镶板|vt. [建] 用镶板装饰； 把…装入箱内；,steal money from the coffer
ˈkɒgneɪt|ˈkɑgneɪt,cognate,adj同词源的|同类的,adj. 同宗的，同根的，同语系的；|n. 同家族的人，同源词；,be cognate with sth.
kɒg'nəʊmen|kɑɡˈnomən,cognomen,n姓,n. 别名，绰号； <史>姓氏；,My recognised cognomen was the Lisping Poet
ˈkɒləkwi|ˈkɑləkwi,colloquy,n(非正式的)交谈;会谈coltn小雄驹,n. 谈话，对话；,soliloquy ;By the end of the Colloquy
kəˈmestɪbl|kəˈmɛstəbəl,comestible,n食物;食品|adj可吃的,adj. 可吃的；|n. 食物；,meat*** cheese*** and other comestibles.;comestible synthetic spicery
kəˈmɪzəreɪt|kəˈmɪzəˌret,commiserate,v同情;怜悯,vt.& vi. 怜悯，同情；,commiserate over their failure.
kəmˈplekʃn|kəmˈplɛkʃən,complexion,n肤色|外表特征,n. 肤色，面色，气色； 形式，局面；,put a different/new/fresh complexion on something
kəmˈplɪsəti|kəmˈplɪsɪti,complicity,n合谋;串通,n. 合谋，串通； 共犯； 牵连；,His complicity with the former government
kəmˈpɔ:t|kəmˈpɔrt,comport,v举止(以一种特殊方式表现),vt. 表现；|n. 举动，行为；,comport with sth.
kəmˈpʌlsəri|kəmˈpʌlsəri,compulsory,adj强制性的;命令性的,,compulsory schooling/education
kənˈsentrɪk|kənˈsɛntrɪk,concentric,adj(指数个圆)有同一中心的,adj. 同一中心的，同轴的；|adv. 同一中心地，同轴地；,concentric circles
kənˈkɒkt|kənˈkɑkt,concoct,v调制|捏造,vt. 调制； 捏造； 图谋，策划；,concoct a story concoct a drink
kənˈdaɪn|kənˈdaɪn,condign,adj罪有应得的|适宜的,adj. 严厉而适当的，罪有应得的；,condign punishment
ˈkɒndɪmənt|ˈkɑndɪmənt,condiment,n调味品;佐料,n. 调味品，佐料；,common condiment
kən'dəʊl|kənˈdol,condole,v向…吊慰,vi. 表示同情，吊唁；,condole with sb. on sth. console vt.安慰*** 藉慰
ˈkɒndɔ:(r)|ˈkɑndɔ(r),condor,n秃鹰|神鹰,n. 神鹰； 秃鹫，秃鹰； 秃鹰金币；,vulture;a California condor
ˈkɒnfɪdænt|ˈkɑnfɪdænt,confidant,n心腹朋友;知己,n. 心腹朋友，知己；,a close confidant of the president
kənˈdʒenɪtl|kənˈdʒɛnɪtl,congenital,adj先天的;天生的,adj. 先天的，天生的； 先天性；,congenital defects*** blindness*** etc 先天性缺陷、 失明等.
ˈkɒndʒəgl|ˈkɑndʒəgl,conjugal,adj婚姻的;夫妻之间的,adj. 婚姻的，夫妻之间的；,conjugal life
kəˈnju:biəl|kəˈnubiəl,connubial,adj婚姻的;夫妻的,adj. 婚姻的，夫妇的，配偶的；,living in connubial bliss ;connubial bed
ˈkɒnsɪkreɪt|ˈkɑnsɪkreɪt,consecrate,v把…奉献,vt. 把…奉为神圣，给…祝圣； 奉献，献祭； 使就圣职； 举行圣体礼使|adj. 神圣的； 被献给神的；,consecrate sth/sb to sth
ˈkɒnsənəns|ˈkɑnsənəns,consonance,n一致;调和|和音,n. 一致； 调和； 协和音程； 和音,in consonance with
ˈkɒnsɔ:t|ˈkɑnsɔrt,consort,v结交;配对|n配偶,n. 配偶； 伙伴； 僚舰； 合作|vi. 结交； 陪伴； 符合；|vt. 使陪伴； 使联系；,consort with; one's consort
kən'spektəs|kənˈspɛktəs,conspectus,n概要;大纲,n. <正>概要，大纲，一览表；,prospectus内容说明书*** 样张;The first part is conspectus
kən'strɪndʒ|kənˈstrɪndʒ,constringe,v使收缩;使收敛;压缩,vt. 使收缩，使收敛，压缩；,constringe expenditure
kɒntjʊməsɪ|ˈkɑntuməsi*** -tju-,contumacy,n抗命;不服从,n. 拒不服从，固执；,punish their contumacy
kɒntjʊmɪlɪ|ˈkɑntuməli*** -tju-*** -təmli,contumely,n无礼;傲慢,n. <正>傲慢； 轻侮； 侮辱行为； 无礼的言行,public contumely
kənˈvi:n|kənˈvin,convene,v集合|召集,vt. 召集； 聚集； 传唤；|vi. 集合；,convene a meeting
ˈkɒnvɔɪ|ˈkɑnvɔɪ,convoy,v护航;护送,n. 护航队； 护送； 被护送者；|vt. 护航； 护送；,The British left in a convoy of 20 cars. ;We drove in convoy.
ˈkɔ:diəl|ˈkɔrdʒəl,cordial,adj热诚的|n兴奋剂,adj. 热诚的； 诚恳的； 兴奋的；|n. 补品； 兴奋剂； 甘露酒；,The talks were conducted in a cordial atmosphere. ;lime cordial
ˈkɔ:nɪt|ˈkɔrnɪt,cornet,n短号|圆锥形蛋卷,n. 短号； （盛冰激凌的）圆锥形蛋卷； 吹短号者；,trumpet ;perform the anthem solo on a cornet
ˈkɔ:nɪs|ˈkɔrnɪs,cornice,n檐口装饰线,n. 檐口；|vt. 装檐口；,A carved cornice runs around the high-ceilinged room.
ˈkɔ:ni|ˈkɔrni,corny,adj平淡无奇的|乡巴佬的,adj. <非正>平淡的，过时的，陈旧的；,corny jokes
ˈkɔ:pərəl|ˈkɔrpərəl,corporal,adj肉体的;身体的,adj. 人体的；|n. 下士；,corporal punishment
ˈkɔ:pjələnt|ˈkɔrpjələnt,corpulent,adj肥胖的,adj. （指人或人的身体）肥胖的； 便便；,obese;A short*** somewhat corpulent man
ˈkɔ:pəs|ˈkɔrpəs,corpus,n全集;全部资料,n. 全集，文集； 资金，本金； [计]语料库； 器官,the entire corpus of Shakespeare’s works
ˈkɒrəskeɪt|ˈkɔrəskeɪt,coruscate,v闪亮,vi. <正>闪光，闪烁；,Diamonds coruscateting in the box
kəʊzɪ|ˈkozi,cosy,adj温暖而舒适的,adj. 舒适的，惬意的； 畅快的； 亲切友好的；|n. 有遮盖的双人座椅； 保暖罩；,a cosy room
kəʊzɪ|ˈkozi,cozy,adj温暖而舒适的,adj. 舒适的，安逸的，惬意的；|n. 保温罩；,cosy;warm and cosy .
ˈkʌvn|'kʌvn,coven,n(尤指十三个)女巫的集会,n. 女巫大聚会，十三女巫大集会；,a group or meeting of witches ;Italian coven of vampires
ˈkrɑ:fti|ˈkræfti,crafty,adj狡诈的|熟练的,adj. 狡猾的，狡诈的； 巧妙的，灵巧的；|adv. 狡猾地，狡诈地；|n. 狡猾，狡诈；,He’s a crafty old devil.
kræg|kræɡ,crag,n悬崖;峭壁,n. 悬崖，峭壁；,scarp;a rocky crag
ˈkri:dəʊ|ˈkridoʊ,credo,n信条,n. 信经，信条；,the customer is first’ credo ;an endearing credo;sb's credo
krɪˈpʌskjələ(r)|krɪˈpʌskjəlɚ,crepuscular,adj朦胧的;微明的,adj. 黄昏的； 黎明的； 昏暗的； 模糊的,crepuscule黎明*** 朦胧***黄昏(亦作crepuscle);crepuscular rays
ˈkrevɪs|ˈkrɛvɪs,crevice,n缺口;裂缝,n. （尤指岩石的）裂缝，缺口；,crevice plant; in every crevice
ˈkrɪŋkl|ˈkrɪŋkəl,crinkle,v(使)变皱|n皱纹,vt.& vi. （使）起皱；|n. （布或纸上的）皱纹；,wrinkle;The pages were brown and crinkled.
ˈkrɪpl|ˈkrɪpəl,cripple,'n跛子|v(使)残废,vt. 使跛； 受伤致残； 严重削弱； 使陷于瘫痪|n. 跛子，瘸子； 瘫子，残疾； <美方>杂木丛生的沼地； 脚蹬,She was crippled in a car accident.
kru:n|krun,croon,v低声歌唱,vt.& vi. 低声歌唱； 柔情地轻哼﹑轻唱或低声述说； 深情地唱；|n. 轻唱，轻哼； 低吟，低吟声；,Sinatra crooning mellow tunes
ˈkrɒtʃəti|ˈkrɑtʃəti,crotchety,adj脾气坏的,adj. 有怪想的，反复无常的，想入非非的；,a crotchety old man
krɪpt|krɪpt,crypt,n地下室;地窖,n. 地窖，（尤指）教堂地下室；,in the crypt of an old church
ˈkʌdl|ˈkʌdl,cuddle,n/v搂抱;拥抱,vt.& vi. 拥抱，怀抱；|vi. 依偎着睡；|n. 搂抱，拥抱；,cuddle (up)together
kʌf|kʌf,cuff,n袖口|v上手铐,n. 袖口，护腕，裤子翻边； <俚>手铐； 护腕；|vt. 给…上袖口（或翻边）； 用手铐铐； 击掌； 轻拍,frayed 磨损了的 handcuff;She cuffed him playfully on the side of the head.
ˈkʌlprɪt|ˈkʌlprɪt,culprit,n犯罪者,n. 犯人，罪犯； 肇事者，被告人；,main culprit;accessory culprit;
kʌmbə|ˈkʌmbɚ,cumber,v拖累;妨碍,vt. 妨害； 使受苦；|n. 妨害； 拖累；,cumbersome ;cumber our thought with his reproaches
kɜ:d|kɜrd,curd,n凝乳,n. 凝乳；,whey *** bean curd
ˈkɜ:fju:|ˈkɜrfju,curfew,n宵禁,n. 宵禁，戒严； 晚钟，晚钟时刻；,The curfew was lifted (= ended ) on May 6th.
kɜ:rɪʃ|ˈkərɪʃ,currish,adj下贱的|杂种的,adj. 杂种狗似的； 爱咬人的； 脾气坏的； 无教养的,cur;the currish guy
ˈkɜ:sɪv|ˈkɜrsɪv,cursive,adj草书的,adj. （指字迹）草书的；|n. 草书；,a cursive writing
kɜ:ˈveɪʃəs|kɜrˈveɪʃəs,curvaceous,a婀娜多姿的|曲线的,adj. <口>（尤指妇女）体型富于曲线美的；,a curvaceous woman
ˈsɪgnət|ˈsɪɡnɪt,cygnet,n小天鹅,n. 幼天鹅；,a young swan ;my dear cygnet
ˈsɪnəzjʊə(r)|ˈsaɪnəʃʊr,cynosure,n注意的焦点,n. 引人注目的人（或物），焦点；,center of attention;be the cynosure of all eyes
dæblə|ˈdæblɚ,dabbler,n涉猎者;浅尝辙止者,n. 戏水者，业余家； 半吊子；,just a dabbler
ˈdæliəns|ˈdæliəns,dalliance,n虚度光阴|调情,n. 嬉戏； 戏弄； 调情； 调戏,have a dalliance with each other
dæm|dæm,damn,v严厉地批评;谴责|adj该死的,adv. 非常； （表示厌烦）该死； 讨厌； 十足|vt. 诅咒； 谴责，指责； 使…失败； [永世受罚，定罪|vi. 诅咒； 咒骂；|n. 一点也不，丝毫；|adj. 该死的； （表示厌烦）可恶的；,damn (somebody/something) with faint praise
ˈdæmpə(r)|'dæmpər,damper,n起抑制作用的因素,n. （钢琴的）制音器； 减震器； （火炉等的）风门； 使人扫兴的人（事）|adj. 潮湿的，不完全干燥的( damp的比较级 )；,A couple of knee injuries put a damper on his football career.
ˈdæŋgl|ˈdæŋɡəl,dangle,v悬荡|吊胃口,vi. 悬荡，垂着摆动； 尾随，追逐；|vt. 使摇晃地挂着或摆荡； 悬而未定；,dangle about (a woman);They dangle hope in front of our eyes
dæŋk|dæŋk,dank,adj阴湿的;阴冷的,adj. 阴湿的，阴冷的； 潮呼呼； 冒出；,a dank celler
dæstəd|ˈdæstəd,dastard,n懦夫;胆小的人,n. 懦夫，胆小的人；|adj. 怯懦的，畏缩的；,bastard n.私生子; a dastard hand; a dastard;
dɔ:b|dɔb,daub,v涂抹|乱画,vt. 涂抹；,daub sth with sth
dɔ:bstə|'dɔbstə,daubster,n拙劣的画家,n. 笨画匠；,John is a daubster
deɪz|dez,daze,v使茫然;使眩晕,vt. 使（某人）迷乱而不能做出正确反应，使茫然； 使（某人）惊奇与迷惑；,dazed by the defeat; in a daze;
dɪˈbɑ:(r)|diˈbɑr,debar,v阻止,vt. 排除； 禁止； 防止； 阻止某人做某事（或加入机构、去某处等）,debar somebody from (doing) something
dɪˈbɪləti|dɪˈbɪlɪti,debility,n衰弱;虚弱,n. 衰弱；,physical and mental debility
ˌdebəˈneə(r)|ˌdebəˈner,debonair,adj迷人的|友好的,adj. （通常指男人）愉快而自信的；,look debonair;The debonair 74-year-old
dɪˈkæmp|dɪˈkæmp,decamp,v(士兵)离营|匆忙秘密地离开,vi. （突然而常为秘密地）（携某物）逃走； 撤营，离开宿营地；|n. 逃走，撤营；,elope abscond;decamp with money to somewhere
dɪˈkænt|dɪ'kænt,decant,v轻轻倒出,vt. 将（酒等）自瓶中倒入另一容器；,decant something into something
ˌdi:ˈsentrəlaɪz|diˈsɛntrəˌlaɪz,decentralize,v分散;权力下放,vt. 权力分散； 人口疏散； 密度分散；|vi. 地方分权； 疏散；,Many firms are decentralizing their operations.
,L44,,,
ˌdi:ˈklæsɪfaɪ|diˈklæsəˌfaɪ,declassify,v撤消保密,vt. 对（机密文件等）销密；,declassify death toll figures
ˌdeklɪ'neɪʃən|ˌdɛkləˈneʃən,declination,n倾斜|衰微,n. 倾斜； 下倾； 赤纬； 磁偏角,causes of the declination
ˈdi:kɔɪ|ˈdiˌkɔɪ*** dɪˈkɔɪ,decoy,v诱骗,n. 诱饵，诱鸟； 圈套； 诱捕；|vt. 诱捕；,decoy enemy troops into a place
dɪˈkri:|dɪˈkri,decree,n命令;法令v颁布命令,n. 法令，命令； （法院的）判决，裁定； （教会的）教令；|vt. 命令； 颁布…为法令； （命运）注定； 裁决|vi. 发布命令； 注定；,The Emperor issued the decree ;The King decreed that
di:'fælˌkeɪt|dɪˈfælˌket*** -ˈfɔl-*** ˈdɛfəl-,defalcate,v盗用公款,vi. 盗用公款，挪用公款，贪污；,defalcate the state-owned assets
dɪˈfeɪm|dɪˈfem,defame,v诽谤;中伤,vt. 诽谤，中伤；,The article is an attempt to defame an honest man.
ˌdi:ˈfəʊliənt|ˌdiˈfoʊliənt,defoliant,n脱叶剂;落叶剂,n. <美>脱叶剂，落叶剂；,a dioxin-laden defoliant
ˌdi:ˈfəʊlieɪt|ˌdiˈfoʊlieɪt,defoliate,v(使)落叶,v. （使）落叶；,used to defoliate the Vietnamese jungle
ˌdi:ˈfɒrɪst|ˌdiˈfɔrɪst,deforest,v采伐森林;清除树林,vt. 砍伐森林； 清除…上的树林；,deforest illegally
dɪˈfreɪ|dɪˈfre,defray,v付款,vt. <正>支付，付给；,My father has to defray my education
dɪˈfʌŋkt|dɪˈfʌŋkt,defunct,adj死亡的,adj. <正>已故的，不存在的； 无效的，失效的； 非现存的；|n. 死者，死人；,a defunct organization 瘫痪的组织.
ˌdi:lekˈteɪʃn|ˌdilɛkˈteʃən,delectation,n享受;愉快,n. 享受，欢娱；,for the delectation of visitors.
ˈdi:mɑ:keɪt|ˈdimɑrkeɪt,demarcate,v划分;划界,vt. 定…的界线，区分；,mark; demarcate categories by a line
dɪˈmi:nə(r)|dɪˈminɚ,demeanour,n举止;行为,n. <正>行为； 举止； 态度； 动作,his quiet*** reserved demeanour
dɪˈmentɪd|dɪˈmɛntɪd,demented,adj疯狂的,adj. 疯狂的，精神错乱的；|v. 精神错乱，变得痴呆（dement的过去分词）；,She was almost demented with grief. ;demented laughter
dɪˈmjʊə(r)|dɪˈmjʊr,demure,adj严肃的;矜持的,adj. 娴静的； 谦恭的； 庄重的； （女子）怕羞的,a demure smile*** reply
dɪˈnɒmɪneɪt|dɪˈnɑmɪneɪt,denominate,v命名;取名,vt. 命名，称呼；,nominate vt.提名*** 推荐*** 任命*** 命名;denominate the disease as
dɪ'nʌnsɪeɪt|dɪ'nʌnsɪˌeɪt,denunciate,v公开指责;公然抨击;谴责,vt. 公开指责，公然抨击，谴责；,denunciate their bad behavior
dɪˈpɔ:tmənt|dɪˈpɔrtmənt,deportment,n(尤指少女的)风度;举止,n. <正>举止，风度，仪态； 概； 器宇；,deport vt.举止*** 驱逐; the child's deportment
dɪˈpɒzɪt|dɪˈpɑzɪt,deposit,v存放|使淤积,n. 储蓄，存款； 保证金； 沉淀物； 寄存，寄存品|vt.&vi. 储蓄； 寄存； 放置，安置； 付保证金|vi. 沉淀；,The initial deposit required to open an account ;underground deposits of gold;security deposit;deposit valuables in the hotel safe
ˌdeprəˈdeɪʃn|ˌdɛprɪˈdeʃən,depredation,n劫掠;蹂躏,n. 劫掠，毁坏；,environmental depredation
dɪˈpresnt|dɪˈprɛsənt,depressant,adj有镇静作用的|n镇静剂,adj. 有镇静作用的；|n. 镇静剂；,stimulant and the depressant
dɪˈpju:t|dɪ'pjut,depute,v派…为代表或代理,vt. 将（工作、职权等）交给某人； 给予（某人）代表行事或发言之权；,depute somebody to do something
ˈdepjutaɪz|ˈdɛpjəˌtaɪz,deputize,v代替某人行事或说话,vi. 担任代表；,Jed could deputise for Stewart*** if necessary.
dɪ'reɪndʒmənt|dɪˈrendʒmənt,derangement,n精神错乱,n. 精神错乱，扰乱； 狂乱； 重排；,range derange;mental derangement
di:'seɪlɪnaɪz|di'seɪlɪˌnaɪz,desalinize,v除去盐分,vt. 除去海水等之盐分及其他化学物质； 脱盐；,salinize;desalinize pigment sediment
dɪˌzɪdəˈrɑ:təm|dɪˌsɪdəˈretəm*** -ˈrɑ-,desideratum,n必需品,n. 想望得到的东西；,desiderate v; plural desiderata; the social desideratum; her only desideratum;
ˈdezɪgneɪt|ˈdɛzɪɡˌnet,designate,v指明;指出|任命;指派,vt. 指明，指出； 指派； 表明，意味着； 把…定名为|adj. 指定而尚未上任的； 选出而尚未上任的；,Funds were designated for projects in low-income areas.
dɪˈzaɪərəs|dɪˈzaɪrəs,desirous,adj渴望的,adj. <正>渴望…的，想得到…的，希望…的；,He became restless and desirous of change.
ˈdesələt|ˈdɛsəlɪt,desolate,adj荒凉的;被遗弃的,adj. 无人的； 荒凉的； 孤独的，凄凉的； 荒废的|vt. 使荒无人烟，使荒芜； 使凄凉，使孤单；,a desolate landscape
ˌdespəˈrɑ:dəʊ|ˌdespəˈrɑdoʊ,desperado,n亡命之徒,n. 亡命徒，暴徒；,I was a desperado before
dɪˈspɔɪl|dɪˈspɔɪl,despoil,v夺取;抢夺,vt. 掠夺，抢劫；,despoil sb. of right spoil
ˈdestɪtju:t|ˈdestɪtut,destitute,adj贫乏的|穷困的,adj. 极度缺乏的； 贫乏的； 穷困的； 无的|n. 赤贫者；|vt. 使穷困，使贫穷； 夺去，使丧失；,Young recruits destitute of any experience.
dɪ'strʌktəbl|dɪˈstrʌktəbəl,destructible,adj可破坏的,adj. 可破坏的，易毁坏的；,be destructible by weather
deswɪtju:d|ˈdɛswɪˌtud*** -ˌtjud,desuetude,n废止;不用,n. 废弃，不用；,desuete 过时的*** 废弃了的 dis use it;fall into desuetude
dɪˈtestəbl|dɪˈtɛstəbəl,detestable,adj嫌恶的;可憎的;可厌恶的,adj. 嫌恶的，可厌恶的，可憎的；,a detestable little man
ˈdetəneɪt|ˈdɛtnˌet,detonate,v(使)爆炸;引爆,vt.& vi. （使）爆炸，引爆； 触发（一连串事件）；,fail to detonate
dɪˈtrækt|dɪˈtrækt,detract,v减去;贬低|转移,vi. 贬低； 减损；|vt. 转移（注意等）；,attract ;One mistake is not going to detract from your achievement
dɪˈvɒlv|dɪˈvɑlv,devolve,v(指工作、职务)移交给某人,vt.& vi. 移交； 转移； 交给下属（或下层、晚辈等）； 衰落,devolve something to somebody/something
ˌdaɪə'bɒlɪk|ˌdaɪə'bɑlɪk,diabolic,adj恶魔(一样)的|魔鬼性格的,adj. 魔鬼似的，残忍的； 毒辣； 万恶；,a diabolic plan
dɪkˈteɪtə(r)|ˈdɪkteɪtər,dictator,n独裁者,n. 独裁者； 专制者； 发号施令者； 专横的人,German Nazi dictator
ˈdɪktəm|ˈdɪktəm,dictum,n格言;声明,n. 宣言； 声明； 名言； 格言,Descartes’ famous dictum: ‘I think; therefore*** I am’
ˌdaɪəˈtetɪks|ˌdaɪɪˈtɛtɪks,dietetics,n饮食学;营养学,n. 饮食学，膳食学，营养学；,book of dietetics
ˈdɪgnɪtəri|ˈdɪgnɪteri,dignitary,n显要人物,n. 高僧； 高官； 显要人物；|adj. 高官的； 权贵的；,Flowers were presented to visiting dignitaries.
dɪˌlæpɪ'deɪʃn|dəˌlæpəˈdeʃən,dilapidation,n破旧;荒废,n. 坍塌，倾圮； 破烂；,result in dilapidation
dɪˌmɪnjuˈendəʊ|dɪˌmɪnjuˈendoʊ,diminuendo,n(音乐、演奏)渐弱,n. <音>渐弱；|adv.& adj. 渐弱地（的）；,a diminuendo passage
daɪ'ɒsɪsn|daɪˈɑsɪsən,diocesan,adj主教管区的,adj. 主教管区的；|n. 教区主教；,diocese 主教教区;diocesan priests and nuns
ˌdɪpsəʊ'meɪnɪə|ˌdɪpsəˈmeniə*** -ˈmenjə,dipsomania,n嗜酒症,n. 嗜酒狂； 间发性酒狂；,suffer from dipsomania -mania dipso <俚>酒鬼***酗酒狂
ˌdɪsəˈvaʊ|ˌdɪsə'vaʊ,disavow,v否认;否定;抵赖,vt. 不承认，抵赖，拒绝对…承担责任；,avow v.承认;disavow the newspaper story
dɪsˈbænd|dɪsˈbænd,disband,v解散(团体),vt. （使）解散，散伙； 解体； 遣散；|vi. 解散； 遣散；,disband his army
dɪsˈkleɪmə(r)|dɪsˈklemɚ,disclaimer,n否认;拒绝,n. 否认声明； 放弃； 放弃者；,the site disclaimer says;a disclaimer of responsibility
ˌdɪsɪm'bɒdɪ|ˌdɪsɪm'bɒdɪ,disembody,v使脱离实体;使脱离现实,vt. 使脱离肉体（或躯壳）；,Death disembodies the spirits of men.
ˌdɪs'fræntʃaɪz|ˌdɪs'fræntʃaɪz,disfranchise,v剥夺…的权利(,vt. 剥夺…公民权，剥夺…的权利；,disfranchise people's right of
dɪsˈhɑ:tn|dɪsˈhɑrtn,dishearten,v使…灰心,vt. 使失去勇气，使失去信心；,they grow disheartened. ;dishearten foreign tourists
dɪ'ʃevəl|dɪˈʃɛvəl,dishevel,v使蓬乱;使头发凌乱,vt. 使蓬乱，使头发凌乱，使衣服弄皱；,Pam arrived late*** dishevelled and out of breath.
dɪ'ʃevəld|dɪˈʃɛvəld,disheveled,adj(指毛发或衣服)凌乱的,adj. 凌乱的，不整洁的；|v. 使（头发等）蓬松(dishevel的过去分词)；,Pam arrived late*** dishevelled and out of breath.
dɪsˈɪntɪgreɪt|dɪsˈɪntɪˌɡret,disintegrate,v(使)分裂成小片;(使)瓦解,vt. 使某物碎裂，崩裂； 使某物衰微，瓦解，分崩离析；|vi. 碎裂，崩裂； 衰微，瓦解，分崩离析；,The plane just disintegrated in mid-air. ;disintegrate the social organization
dɪˈspɔ:t|dɪˈspɔrt,disport,v玩耍;嬉戏,vt.& vi. 嬉戏，玩乐，自娱；,disport oneself; his fancy disport
ˌdɪskwɪˈzɪʃn|ˌdɪskwɪˈzɪʃən,disquisition,n长篇演讲;专题论文,n. 专题论文，专题演讲；,disquisition on sth
daɪ'sekʃn|dɪˈsɛkʃən*** daɪ-,dissection,n解剖;剖析,n. 解剖，切开，剥离； 剖割； 切割； 切段,human dissection
dɪˈsəʊʃieɪt|dɪˈsoʊʃieɪt,dissociate,v分离;游离;分裂,vt. 使分离；|vi. 分离；,dissociate yourself from something
dɪ'steɪn|dɪ'steɪn,distain,v贬损;伤害名誉,v. 使变色，弄脏，伤害名誉； 小看；,stain n.污点*** 瑕疵v.染污*** 沾污;distain yourself (from something)
ˈdɪstl|ˈdɪstəl,distal,adj远离中心的;(神经)末梢的,adj. 末梢的；,A distal motivation;
dɪs'tenʃən|dɪˈstɛnʃən,distention,n膨胀,n. 膨胀，延伸；,stomach distention ;
dɪs'treɪ|dɪ'streɪ,distrait,adj心不在焉的,adj. 心不在焉的；,absent-minded; abstracted ;fell distrait
dɪtʃ|dɪtʃ,ditch,n沟;沟渠;壕沟,n. 沟渠； 壕沟；|vt. 摆脱，抛弃； 在…上掘沟； 把…开入沟里； 使（火车）出轨|vi. 使（飞机）在海上紧急降落，（在海上）迫降； 开沟；,last-ditch ;the deep ditch
daɪvəˌgeɪt|ˈdaɪvəˌɡet*** ˈdɪvə-,divagate,v离题|飘泊,vi. <文>漫游，漂泊游荡，离题；,agate wander;don't divagate from what we're discussing about
dɒk|dɑk,dock,v剪短|扣除…的一部分工资,n. 码头； 被告席； 草本植物； 尾巴的骨肉部份|vt.& vi. （使）船停靠码头； 剪短（尾巴等）； 削减，缩减（工资等）； 在…设置船坞|vi. 入船坞；,Three defendants stood in the dock. ;dock sb’s wages/pay/salary
ˈdɒgəʊ|ˈdɔgoʊ,doggo,adv(一动不动地)隐藏着,adv. 静静躲藏着地，一动也不动地；,lay doggo;
ˈdəʊtɪdʒ|ˈdoʊtɪdʒ,dotage,n老年糊涂|溺爱,n. 老年糊涂； 年老昏聩，年老糊涂；,in your dotage
dʌbl krɒs|ˈdʌbəlˈkrɔs*** -ˈkrɑs,double-cross,v欺骗;叛卖,vt. 出卖，欺骗；|vi. 进行欺骗；|n. 欺骗行为；,
ˈdaʊdi|ˈdaʊdi,dowdy,adj不整洁的;过旧的,adj. （指衣服）不漂亮的，俗气的，（穿着）邋遢的；,a dowdy gray outfit.过时的灰色装束
ˈdaʊri|ˈdaʊri,dowry,n嫁妆;妆奁,n. 嫁妆；,prepare her dowry
dəʊz|doʊz,doze,v瞌睡;假寐,vi. 打盹儿，打瞌睡； 假寐；|vt. 打瞌睡度过；|n. 瞌睡；,doze off have a doze
ˈdrɪbl|ˈdrɪbəl,dribble,v(液体)往下滴、淌,vi. 点滴留下；|vt.& vi. （使液体）滴下或作细流； 运球，带球；|n. 口水； 涓滴，细滴； 运球； 少量（液体）,Water dribbled from the leaky faucet.
drəʊlərɪ|ˈdrolərɪ,drollery,n笑谈;滑稽,n. 开玩笑，说笑话； 滑稽可笑的图画（或故事、小戏等）；,with abundant wit and drollery
ˈdʌktaɪl|ˈdʌktəl*** -ˌtaɪl,ductile,adj易拉长的;易变形的|可塑的,adj. 可延展的； 有韧性的； 顺从的； 易受影响的,Ductile Iron ;ductile and flexible
ˈdʌlsɪt|ˈdʌlsɪt,dulcet,adj美妙的,adj. 悦耳的，优美动听的；,dulcet tones;dulcet imagines
ˈdʌlɑ:d|ˈdʌlɑrd,dullard,n愚人;笨蛋,n. 愚人，笨蛋；,genius or dullard ;make you a dullard
dʌmˈfaʊnd|ˈdʌmˌfaʊnd,dumbfound,v使…惊讶发愣,v. 使人哑然失声，使发楞；,We were completely dumbfounded by her rudeness.
dʌns|dʌns,dunce,n笨人,n. 蠢材，笨学生；,the dunce of the class
ˈi:glət|ˈiɡlɪt,eaglet,n小鹰,n. 小鹰；,an injured eaglet
ɜ:θˌʃeɪkɪŋ|'ɜθʃeɪkɪŋ,earthshaking,adj极其重大或重要的,adj. 震撼全球的，极为重大的，翻天覆地的； 惊天动地；,an earth-shattering event
ekdɪsɪs|ˈɛkdɪsɪs,ecdysis,n(动物)蜕皮|换羽毛,n. （动物的）蜕皮，换羽；,The reason of snake's ecdysis
